Time,Altitude,Velocity,Mass,Acceleration,G_Force
0,0,0,10000,10.1897,2.03874
0.05,0.0254742,0.509484,9996.6,10.1965,2.03943
0.1,0.0764396,1.01931,9993.2,10.2033,2.04012
0.15,0.152913,1.52947,9989.8,10.2101,2.04082
0.2,0.254912,2.03998,9986.4,10.2169,2.04151
0.25,0.382453,2.55082,9983,10.2237,2.04221
0.3,0.535554,3.06201,9979.61,10.2306,2.0429
0.35,0.714231,3.57354,9976.21,10.2374,2.0436
0.4,0.918501,4.08541,9972.81,10.2442,2.04429
0.45,1.14838,4.59762,9969.41,10.2511,2.04499
0.5,1.40389,5.11017,9966.01,10.2579,2.04569
0.55,1.68504,5.62307,9962.61,10.2648,2.04639
0.6,1.99186,6.13631,9959.21,10.2717,2.04709
0.65,2.32435,6.64989,9955.81,10.2785,2.04778
0.7,2.68255,7.16382,9952.41,10.2854,2.04848
0.75,3.06645,7.67809,9949.01,10.2923,2.04918
0.8,3.47608,8.1927,9945.62,10.2992,2.04988
0.85,3.91147,8.70766,9942.22,10.306,2.05059
0.9,4.37262,9.22296,9938.82,10.3129,2.05129
0.95,4.85955,9.73861,9935.42,10.3198,2.05199
1,5.37228,10.2546,9932.02,10.3267,2.05269
1.05,5.91082,10.7709,9928.62,10.3337,2.05339
1.1,6.4752,11.2876,9925.22,10.3406,2.0541
1.15,7.06544,11.8046,9921.82,10.3475,2.0548
1.2,7.68154,12.322,9918.42,10.3544,2.0555
1.25,8.32353,12.8397,9915.02,10.3614,2.05621
1.3,8.99142,13.3578,9911.62,10.3683,2.05691
1.35,9.68523,13.8762,9908.23,10.3752,2.05762
1.4,10.405,14.395,9904.83,10.3822,2.05833
1.45,11.1507,14.9141,9901.43,10.3891,2.05903
1.5,11.9224,15.4336,9898.03,10.3961,2.05974
1.55,12.72,15.9534,9894.63,10.4031,2.06045
1.6,13.5437,16.4735,9891.23,10.4101,2.06116
1.65,14.3934,16.994,9887.83,10.417,2.06186
1.7,15.2691,17.5149,9884.43,10.424,2.06257
1.75,16.171,18.0361,9881.03,10.431,2.06328
1.8,17.0988,18.5576,9877.63,10.438,2.06399
1.85,18.0528,19.0795,9874.24,10.445,2.0647
1.9,19.0329,19.6018,9870.84,10.452,2.06541
1.95,20.0391,20.1244,9867.44,10.459,2.06613
2,21.0715,20.6473,9864.04,10.466,2.06684
2.05,22.13,21.1706,9860.64,10.4731,2.06755
2.1,23.2147,21.6943,9857.24,10.4801,2.06826
2.15,24.3256,22.2183,9853.84,10.4871,2.06898
2.2,25.4628,22.7426,9850.44,10.4942,2.06969
2.25,26.6261,23.2673,9847.04,10.5012,2.0704
2.3,27.8158,23.7924,9843.64,10.5083,2.07112
2.35,29.0317,24.3178,9840.24,10.5153,2.07183
2.4,30.2738,24.8436,9836.85,10.5224,2.07255
2.45,31.5423,25.3697,9833.45,10.5295,2.07327
2.5,32.8371,25.8962,9830.05,10.5365,2.07398
2.55,34.1583,26.423,9826.65,10.5436,2.0747
2.6,35.5058,26.9502,9823.25,10.5507,2.07542
2.65,36.8797,27.4777,9819.85,10.5578,2.07614
2.7,38.28,28.0056,9816.45,10.5649,2.07686
2.75,39.7066,28.5339,9813.05,10.572,2.07758
2.8,41.1598,29.0625,9809.65,10.5791,2.0783
2.85,42.6393,29.5914,9806.25,10.5862,2.07902
2.9,44.1454,30.1207,9802.85,10.5933,2.07974
2.95,45.6779,30.6504,9799.46,10.6005,2.08046
3,47.2369,31.1804,9796.06,10.6076,2.08118
3.05,48.8225,31.7108,9792.66,10.6147,2.0819
3.1,50.4345,32.2415,9789.26,10.6219,2.08263
3.15,52.0732,32.7726,9785.86,10.629,2.08335
3.2,53.7384,33.3041,9782.46,10.6362,2.08407
3.25,55.4302,33.8359,9779.06,10.6433,2.0848
3.3,57.1486,34.3681,9775.66,10.6505,2.08552
